day,demand_MWh
08/17/2017,13179473
08/16/2017,13081840
08/15/2017,12788111
08/14/2017,12465341
08/13/2017,11533716
08/12/2017,11832638
08/11/2017,12560487
08/10/2017,12591206
08/9/2017,12290983
08/8/2017,12108880
08/7/2017,12039695
08/6/2017,11172760
08/5/2017,11605254
08/4/2017,12608438
08/3/2017,12943345
08/2/2017,12896672
08/1/2017,12957123
07/31/2017,12555533
07/30/2017,11449507
07/29/2017,11843918
07/28/2017,13083742
07/27/2017,13341848
07/26/2017,13198687
07/25/2017,12978835
07/24/2017,12972146
07/23/2017,12688004
07/22/2017,13336382
07/21/2017,14149667
07/20/2017,14234059
07/19/2017,13994373
07/18/2017,13554156
07/17/2017,13188277
07/16/2017,12154841
07/15/2017,12383141
07/14/2017,13201915
07/13/2017,13740563
07/12/2017,13754888
07/11/2017,13500913
07/10/2017,13023244
07/9/2017,11963067
07/8/2017,12355599
07/7/2017,13199340
07/6/2017,13173506
07/5/2017,12860213
07/4/2017,11879414
07/3/2017,12408614
07/2/2017,11839805
07/1/2017,11879271
06/30/2017,12608051
06/29/2017,12307195
06/28/2017,11758466
06/27/2017,11617350
06/26/2017,11620043
06/25/2017,11047528
06/24/2017,11704032
06/23/2017,12914997
06/22/2017,12834987
06/21/2017,12574271
06/20/2017,12505758
06/19/2017,12597039
06/18/2017,11825336
06/17/2017,11936441
06/16/2017,12393666
06/15/2017,12526055
06/14/2017,12703419
06/13/2017,12914086
06/12/2017,12716001
06/11/2017,11368133
06/10/2017,10960132
06/9/2017,11023418
06/8/2017,10817970
06/7/2017,10810166
06/6/2017,11044699
06/5/2017,11218879
06/4/2017,10454179
06/3/2017,10587198
06/2/2017,11061044
06/1/2017,11002357
05/31/2017,10998560
05/30/2017,10793203
05/29/2017,10014396
05/28/2017,9846734
05/27/2017,10185646
05/26/2017,10488990
05/25/2017,10187986
05/24/2017,10160336
05/23/2017,10409680
05/22/2017,10392214
05/21/2017,9648978
05/20/2017,10223276
05/19/2017,11437705
05/18/2017,11681956
05/17/2017,11303995
05/16/2017,10886928
05/15/2017,10513131
05/14/2017,9300648
05/13/2017,9350416
05/12/2017,10033858
05/11/2017,10293962
05/10/2017,10263954
05/9/2017,10118673
05/8/2017,9846581
05/7/2017,8878195
05/6/2017,9007763
05/5/2017,9734901
05/4/2017,9930293
05/3/2017,10117562
05/2/2017,10160530
05/1/2017,10127584
04/30/2017,9478216
04/29/2017,10112411
04/28/2017,10380808
04/27/2017,10046202
04/26/2017,10061061
04/25/2017,9828334
04/24/2017,9614864
04/23/2017,8797701
04/22/2017,9268727
04/21/2017,10070053
04/20/2017,10213706
04/19/2017,10070815
04/18/2017,9874051
04/17/2017,9745731
04/16/2017,8953875
04/15/2017,9150600
04/14/2017,9460922
04/13/2017,9773229
04/12/2017,9762092
04/11/2017,9744389
04/10/2017,9688622
04/9/2017,8890896
04/8/2017,9127246
04/7/2017,9775236
04/6/2017,9895697
04/5/2017,9909057
04/4/2017,9969980
04/3/2017,9777910
04/2/2017,9014460
04/1/2017,9269248
03/31/2017,9909455
03/30/2017,9937963
03/29/2017,10002772
03/28/2017,9985427
03/27/2017,9871396
03/26/2017,9055584
03/25/2017,9083313
03/24/2017,9922934
03/23/2017,10340988
03/22/2017,10179694
03/21/2017,10053326
03/20/2017,10249194
03/19/2017,9438685
03/18/2017,9556458
03/17/2017,10574927
03/16/2017,11082563
03/15/2017,11417242
03/14/2017,11080103
03/13/2017,10926664
03/12/2017,9235296
03/11/2017,10079031
03/10/2017,9651289
03/9/2017,9406596
03/8/2017,9356835
03/7/2017,9478595
03/6/2017,10155232
03/5/2017,9657431
03/4/2017,9973172
03/3/2017,10485402
03/2/2017,10215351
03/1/2017,10009706
02/28/2017,9803632
02/27/2017,10381770
02/26/2017,9616816
02/25/2017,9464929
02/24/2017,9822311
02/23/2017,9808199
02/22/2017,9793462
02/21/2017,9814038
02/20/2017,9701368
02/19/2017,9003997
02/18/2017,9345194
02/17/2017,10294354
02/16/2017,10730129
02/15/2017,10542431
02/14/2017,10578546
02/13/2017,10391741
02/12/2017,9424994
02/11/2017,9705587
02/10/2017,11022702
02/9/2017,11027458
02/8/2017,10406935
02/7/2017,10337881
02/6/2017,10474104
02/5/2017,10090812
02/4/2017,10805222
02/3/2017,10751572
02/2/2017,10898226
02/1/2017,10631288
01/31/2017,10916363
01/30/2017,11095848
01/29/2017,10411631
01/28/2017,10706622
01/27/2017,11224741
01/26/2017,10767894
01/25/2017,10576234
01/24/2017,10704434
01/23/2017,10430559
01/22/2017,9469184
01/21/2017,9544254
01/20/2017,10319027
01/19/2017,10476412
01/18/2017,10538362
01/17/2017,10636752
01/16/2017,10623222
01/15/2017,10091219
01/14/2017,10420576
01/13/2017,10792593
01/12/2017,10597351
01/11/2017,10795287
01/10/2017,11605271
01/9/2017,12646709
01/8/2017,12768231
01/7/2017,12873964
01/6/2017,12676403
01/5/2017,12045631
01/4/2017,11313435
